LocationID,zone,borough,centroid_x_ft,centroid_y_ft
210,Sheepshead Bay,Brooklyn,1000772.9141561249,154972.18794503462
211,SoHo,Manhattan,983823.8071189568,203008.49133349792
212,Soundview/Bruckner,Bronx,1020315.9032849196,240931.2162123411
213,Soundview/Castle Hill,Bronx,1023516.9037796599,237276.93187652092
214,South Beach/Dongan Hills,Staten Island,960498.7813145992,153070.10553930202
215,South Jamaica,Queens,1042216.2459483632,192344.28083011464
216,South Ozone Park,Queens,1034328.3000646848,185669.0322507612
217,South Williamsburg,Brooklyn,995729.6302943821,195734.93814042766
218,Springfield Gardens North,Queens,1047209.1610980444,184218.43119176687
219,Springfield Gardens South,Queens,1049585.1945774315,180616.2541369815
220,Spuyten Duyvil/Kingsbridge,Bronx,1008953.1291249155,260773.7150891059
221,Stapleton,Staten Island,963788.5728742357,164718.91037427034
222,Starrett City,Brooklyn,1016880.3445547164,175209.80327737163
223,Steinway,Queens,1010448.2493404751,222528.47602029677
224,Stuy Town/Peter Cooper Village,Manhattan,990735.9402968985,205899.41753040857
225,Stuyvesant Heights,Brooklyn,1003139.5657882079,190001.9666835628
226,Sunnyside,Queens,1005124.9821982766,208048.8271284763
227,Sunset Park East,Brooklyn,982958.7984941043,173132.83396129485
228,Sunset Park West,Brooklyn,981122.0045881376,176946.79144555607
229,Sutton Place/Turtle Bay North,Manhattan,993906.172303669,214975.36687642592
230,Times Sq/Theatre District,Manhattan,988628.0600457706,216099.13976819027
231,TriBeCa/Civic Center,Manhattan,982065.7013859933,200780.5404273566
232,Two Bridges/Seward Park,Manhattan,988955.8875207301,199673.27702510695
233,UN/Turtle Bay South,Manhattan,992439.5608765966,212491.93584201983
234,Union Sq,Manhattan,986894.2367953612,209001.62663024908
235,University Heights/Morris Heights,Bronx,1007494.9920056938,249885.02158920703
236,Upper East Side North,Manhattan,996155.3867664873,223613.7535761809
237,Upper East Side South,Manhattan,993769.0237141158,219305.827825634
238,Upper West Side North,Manhattan,991712.7644430182,227717.51805940425
239,Upper West Side South,Manhattan,990167.4982920033,224895.87216485172
240,Van Cortlandt Park,Bronx,1016879.8691982799,265226.4386367349
